1JANATAMF,6.1,6.2,6.1,6.1,6.2,-0.1,78,1.624,265,150

1STPRIMFMF,16.9,17,16.4,16.7,16.5,0.4,130,3.07,182,398

AAMRANET,37.4,37.8,36.9,37.4,37.5,-0.1,407,15.744,421,313

AAMRATECH,32.4,33,32.2,32.4,32.8,-0.4,408,17.754,548,114

ABB1STMF,5.4,5.5,5.4,5.4,5.5,-0.1,16,0.549,101,439

ABBANK,10.9,11,10.8,10.8,11,-0.1,244,14.181,1,305,636

ACFL,26,26.8,25.6,25.7,26,0,91,1.075,41,850

ACI,279.7,281.8,277,279.7,280.4,-0.7,369,11.524,41,317

ACIFORMULA,166.6,169,166.5,166.6,169.8,-3.2,1,842,125.408,751,486

ACMELAB,88.7,89.9,87.8,88.7,89.3,-0.6,284,12.466,140,709

ACMEPL,28.8,29,28.6,28.7,29.1,-0.3,426,10.731,373,759

ACTIVEFINE,20.9,21.2,20.8,20.9,21.2,-0.3,632,19.908,949,161

ADNTEL,65.7,66.8,65.5,65.7,66.8,-1.1,314,11.325,172,314

ADVENT,25.6,25.9,25.3,25.6,25.8,-0.2,322,12.229,479,726

AFCAGRO,23.5,23.7,23,23.5,23.2,0.3,340,6.033,258,336

AFTABAUTO,26.3,26.5,26,26.2,26.1,0.2,97,1.643,62,754

AGNISYSL,22.3,22.6,22.2,22.3,22.5,-0.2,377,14.753,659,537

AGRANINS,44.2,45.7,42.2,44.2,41.9,2.3,527,11.019,248,336

AIBL1STIMF,9.2,9.3,9.2,9.2,9.1,0.1,121,4.327,467,365

AIL,46.1,50,45.3,45.8,46,0.1,56,1.675,36,014

AL-HAJTEX,95.2,97,94.1,95.2,95.9,-0.7,261,15.28,160,310

ALARABANK,26.6,26.7,26,26.6,26,0.6,130,3.302,124,650

ALIF,13.4,13.6,13.3,13.4,13.5,-0.1,613,17.723,1,326,804

ALLTEX,24.3,24.6,23.3,24.3,23.6,0.7,675,24.778,1,041,231

AMANFEED,35.3,35.8,35.3,35.3,35.9,-0.6,494,10.785,304,052

AMBEEPHA,490,490,470,484,470,20,293,5.817,12,177

AMCL(PRAN),277.9,277.9,262.6,272.1,267.9,10,360,6.822,25,318

ANLIMAYARN,35.1,35.7,34.8,34.9,34.8,0.3,89,1.314,37,522

ANWARGALV,362,364.9,359.6,362,362.4,-0.4,194,13.32,36,903

AOL,37,37.6,36.9,37.2,36.8,0.2,177,4.048,108,479

APEXFOODS,183.5,184,179.5,182.1,181.6,1.9,308,5.768,31,704

APEXFOOT,276,276.1,272.8,274.9,276.8,-0.8,139,2.35,8,543

APEXSPINN,132,134,131.5,132,133.8,-1.8,180,2.475,18,715

APEXTANRY,155.8,158.6,152.1,154,154.8,1,297,10.267,65,768

APOLOISPAT,8.3,8.4,8.2,8.3,8.3,0,328,6.407,777,543

ARAMIT,291.7,294,285.3,288.8,288.8,2.9,144,2.875,9,997

ARAMITCEM,26,26.5,25.8,26.1,26,0,486,3.807,145,637

ARGONDENIM,18.2,18.3,17.9,18.2,18.2,0,72,1.085,59,934

ASIAINS,57.2,58.5,53.5,57.2,53.7,3.5,1,763,50.711,890,421

ASIAPACINS,52.4,53.8,51.6,51.9,50.9,1.5,139,3.597,67,989

ATCSLGF,9.7,9.8,9.7,9.7,9.7,0,93,3.282,336,780

ATLASBANG,107,107,104,105.5,106.1,0.9,44,0.931,8,810

AZIZPIPES,93,93.8,93,93,92.9,0.1,43,0.352,3,776

BANGAS,129.1,132,129.1,129.1,131.7,-2.6,757,21.005,162,206

BANKASIA,19.3,19.5,18.9,19.3,19.2,0.1,48,3.736,194,899

BARKAPOWER,24.4,24.7,24.2,24.4,24.5,-0.1,175,3.514,144,550

BATASHOE,909,915,901.4,908.8,916.9,-7.9,32,0.83,914

BATBC,550.7,553,549.5,550.7,549.7,1,1,481,45.177,82,027

BAYLEASING,27.2,27.4,26.9,27.2,27.4,-0.2,636,24.777,914,264

BBS,23.5,23.7,23.4,23.5,23.7,-0.2,554,20.262,861,921

BBSCABLES,56.8,57.4,54.7,56.8,54.8,2,967,33.486,594,088

BDAUTOCA,132.6,136,131.5,132.7,133.5,-0.9,82,1.181,8,878

BDCOM,30.6,31.2,30.1,30.6,30.5,0.1,831,37.011,1,213,231

BDFINANCE,47.3,48.3,47.2,47.3,48,-0.7,455,45.22,945,195

BDLAMPS,267.8,267.9,260,264.2,265.1,2.7,552,13.435,51,045

BDSERVICE,0,0,0,5.2,5.2,--,0,0,0

BDTHAI,17.7,17.9,17.4,17.7,17.6,0.1,155,3.061,174,340

BDTHAIFOOD,36.4,37.3,36.2,36.4,36.9,-0.5,499,10.969,298,982

BDWELDING,18.4,18.7,18.4,18.4,18.6,-0.2,54,0.812,43,944

BEACHHATCH,38,39.3,37.8,38,38.4,-0.4,202,3.334,87,355

BEACONPHAR,287.6,290,281.3,287.6,287,0.6,363,38.402,134,120

BENGALWTL,23.6,23.8,22.6,23.6,22.7,0.9,416,9.66,413,665

BERGERPBL,1,727.2,1,741,1,718,1,727.2,1,746.7,-19.5,38,0.888,512

BEXIMCO,134.9,137.4,133.7,134.9,136.1,-1.2,2,546,511.433,3,784,191

BGIC,46.8,47.5,44.1,46.8,44.1,2.7,121,1.632,35,188

BIFC,6.8,6.8,6.8,6.8,6.7,0.1,2,0.034,5,000

BNICL,70.5,73,69.3,70.5,68.5,2,425,8.276,116,157

BPML,52,52.4,51.6,52,52,0,314,8.146,157,175

BPPL,32.6,33,32.3,32.6,32.6,0,297,7.215,221,393

BRACBANK,41.1,41.6,41,41.1,41.4,-0.3,417,19.922,483,789

BSC,115.7,117.5,115.7,115.7,118,-2.3,885,57.501,496,334

BSCCL,217.4,218,214.1,217.4,214.9,2.5,362,28.811,133,400

BSRMLTD,99.1,99.3,97.9,99.1,98.2,0.9,156,4.399,44,609

BSRMSTEEL,67.2,68.3,66.9,67.2,67.5,-0.3,241,10.58,157,540

